graph_id,V,E,prim_cost,kruskal_cost,prim_ms,kruskal_ms,prim_ops,kruskal_ops
1,10,28,96,96,0.999,0.315,93,197
2,15,53,284,284,0.162,0.136,185,428
3,20,84,324,324,0.150,0.109,274,648
4,25,180,212,212,0.103,0.108,575,1418
5,30,219,259,259,0.135,0.123,708,1813
6,50,516,294,294,0.183,0.312,1651,4670
7,75,671,438,438,0.276,0.423,2286,6733
8,100,1366,499,499,0.349,0.785,4401,14134
9,125,1904,546,546,0.484,0.836,6218,20131
10,150,4839,343,343,0.999,0.999,15268,52090
11,175,7236,321,321,0.999,0.999,22745,78175
12,200,9569,352,352,0.999,0.999,29275,101549
13,225,12243,374,374,0.999,0.999,37427,131233
14,250,9917,495,495,0.776,0.999,31190,108180
15,300,21813,411,411,0.999,0.999,66642,234505
16,400,9975,1160,1160,0.846,0.999,32163,112663
17,450,12080,1204,1204,0.979,0.999,38676,135930
18,500,10956,1660,1660,0.999,0.999,35549,125300
19,550,12672,1688,1688,0.958,0.999,40357,141967
20,600,12473,1968,1968,0.999,0.999,41180,145169
21,650,12613,2416,2416,0.855,0.999,41077,145301
22,700,30842,1335,1335,0.999,0.999,96559,339093
23,800,23330,2086,2086,0.999,0.999,74949,265072
24,900,54538,1399,1399,0.999,0.999,168619,596962
25,1000,53946,1667,1667,0.999,0.999,169044,597694
26,1300,55716,2528,2528,0.999,0.999,174957,619288
27,1600,57232,3449,3449,0.999,0.999,182189,642595
28,2000,58881,4999,4999,0.999,0.999,191699,677422
29,2300,129829,3669,3669,0.999,0.999,405338,1430377
30,2600,168031,3847,3847,0.999,0.999,522304,1853090
